기출년도,과목,문제,보기1,보기2,보기3,보기4,보기5,정답,해설,이미지,이미지정렬,검증됨
"2023","사회복지학개론","1. 사회복지실천에서 사정(assessment)에 대한 설명으로 옳지 않은 것은?","1. 환경 속의 인간이라는 맥락에 기초한다.","2. 사회복지 개입의 성과를 확인할 수 있다.","3. 사회복지사와 클라이언트의 상호협력적 활동이다.","4. 클라이언트의 욕구와 문제를 이해하는 과정이다.","","2","사회복지 개입의 성과를 확인하는 것은 '평가' 단계에 해당합니다. 사정은 자료를 수집하고 분석하여 클라이언트의 문제와 욕구를 파악하는 단계입니다.","","center","true"
"2023","사회복지학개론","2. 양적조사방법과 비교할 때 질적조사방법의 특징으로 옳지 않은 것은?","1. 주관성","2. 귀납적 방법","3. 일반화의 한계","4. 연구절차의 경직성","","4","질적조사방법은 연구 절차가 유연하다는 특징이 있습니다. 연구절차의 경직성은 미리 정해진 절차를 따르는 양적조사방법의 특징입니다.","","center","true"
"2023","사회복지학개론","3. 베버리지 보고서에서 제시한 사회보험 운영의 기본 원칙이 아닌 것은?","1. 급여 충분성의 원칙","2. 열등처우의 원칙","3. 정액 급여의 원칙","4. 행정책임 통합의 원칙","","2","열등처우의 원칙은 1834년 개정 빈민법(신빈민법)의 원칙입니다. 베버리지 보고서의 6대 원칙은 정액급여, 정액기여, 행정책임의 통합, 급여의 충분성, 포괄성, 피보험자 분류입니다.","","center","true"
"2023","사회복지학개론","4. 사회복지의 잔여적 관점과 제도적 관점에 대한 설명으로 옳은 것은?","1. 제도적 관점에서는 자산조사를 통해 선별적 급여를 제공한다.","2. 잔여적 관점에서 사회복지급여 제공은 국가의 시혜가 아니라 수급자의 권리이다.","3. 제도적 관점에서는 사회복지를 일시적이고 보충적인 기능을 수행하는 제도로 인식한다.","4. 잔여적 관점에서는 가족이나 시장경제가 개인의 욕구를 적절하게 충족시키지 못하는 경우에만 사회복지서비스를 제공한다.","","4","잔여적 관점은 가족이나 시장이 제 기능을 하지 못할 때 국가가 보충적으로 개입해야 한다고 봅니다. 1번은 잔여적 관점, 2번은 제도적 관점, 3번은 잔여적 관점에 대한 설명입니다.","","center","true"
"2023","사회복지학개론","5. 길버트법(Gilbert Act)에 대한 설명으로 옳은 것은?","1. 비인도적 빈민처우를 강화하였다.","2. 노동능력이 있는 빈민에 대해 원외구제를 허용하였다.","3. 요보호빈곤아동에게 강제적으로 도제수습을 받도록 하였다.","4. 빈민 원인 조사를 위해 우애방문원(friendly visitors)의 역할을 강조하였다.","","2","길버트법(1782)은 작업장 내에서의 비참한 생활을 개선하기 위해 노동 능력이 있는 빈민에 대한 원외구제를 허용하였습니다.","","center","true"
"2023","사회복지학개론","6. 「노인복지법」상 노인복지시설에 대한 설명으로 옳지 않은 것은?","1. 노인여가복지시설은 방문요양, 주ㆍ야간보호서비스 등을 제공한다.","2. 노인의료복지시설에는 노인요양시설, 노인요양공동생활가정이 있다.","3. 노인주거복지시설에는 양로시설, 노인공동생활가정, 노인복지주택이 있다.","4. 지역노인보호전문기관은 노인학대 예방을 위하여 일반인을 대상으로 한 노인학대 예방교육을 담당한다.","","1","방문요양, 주·야간보호서비스 등은 재가노인복지시설에서 제공하는 서비스입니다. 노인여가복지시설에는 노인복지관, 경로당, 노인교실이 있습니다.","","center","true"
"2023","사회복지학개론","7. 사례관리의 초기과정(intake) 이후 단계를 순서대로 바르게 나열한 것은?","1. 계획 — 사정 — 평가 — 실행 — 점검","2. 계획 — 사정 — 실행 — 평가 — 점검","3. 사정 — 계획 — 실행 — 점검 — 평가","4. 사정 — 계획 — 평가 — 실행 — 점검","","3","사례관리의 일반적인 절차는 '접수(Intake) → 사정(Assessment) → 계획(Planning) → 실행(Implementation/Intervention) → 점검(Monitoring) → 평가(Evaluation) → 종결(Termination)' 순서입니다.","","center","true"
"2023","사회복지학개론","8. 사회서비스 바우처에 대한 설명으로 옳지 않은 것은?","1. 공급자 재정지원방식이다.","2. 공급자 간 경쟁을 촉진시켜 서비스 향상을 도모한다.","3. 특정한 재화나 서비스의 수요자에게 일정 금액의 구매권을 제공한다.","4. 일정한 용도 내에서는 현금 급여 방식처럼 소비자의 선택이 가능하다.","","1","바우처 제도는 수요자에게 이용권을 지급하여 서비스를 선택하게 하는 수요자 지원 방식입니다. 공급자에게 재정을 직접 지원하는 방식과는 구별됩니다.","","center","true"
"2023","사회복지학개론","9. 사회복지실천기술에 대한 설명으로 옳지 않은 것은?","1. 요약: 사회복지사가 클라이언트의 모호한 말을 더 이해하기 쉬운 말과 생각으로 정리하는 것","2. 재명명: 클라이언트가 부여하는 의미를 수정해 줌으로써 클라이언트의 시각을 긍정적인 방향으로 변화시키는 것","3. 재보증: 클라이언트의 능력에 대해 사회복지사가 신뢰를 표현함으로써 클라이언트의 불안과 불확실성을 제거하고 위안을 주는 것","4. 해석: 클라이언트가 제공한 정보를 바탕으로 사회복지사가 다양한 이론에 근거하여 클라이언트에게 자신의 상황을 보는 대안적 준거틀을 제공하는 것","","1","1번의 설명(클라이언트의 모호한 말을 더 이해하기 쉬운 말로 정리하는 것)은 '명료화(Clarification)'에 해당합니다. '요약'은 클라이언트가 진술한 내용의 핵심을 정리하여 전체적인 흐름을 파악하는 기술입니다.","","center","true"
"2023","사회복지학개론","10. 우리나라 사회복지사 윤리강령에 대한 설명으로 옳은 것은?","1. 보건복지부장관이 고시한다.","2. 법률에 준하는 강제적 효력이 있다.","3. 사회복지 서비스에 대한 이용료 부과를 금지한다.","4. 슈퍼바이저는 전문적 기준에 따라 슈퍼비전을 수행하며, 공정하게 평가하고 평가 결과를 슈퍼바이지와 공유한다.","","4","윤리강령은 한국사회복지사협회에서 제정하며 법적 강제력은 없습니다. 또한 서비스 이용료 부과를 금지하지 않습니다. 4번 항목은 윤리강령의 내용과 일치합니다.","","center","true"
